,0
0,"RT @GabbbarSingh: 3. Also, the captured pilot is a great leverage for no more escalation. Things may normalize. But who will console the fa…"
1,"RT @ashoswai: What a day for Indian media!
Morning- Modi led our air force to enter inside Pakistan &amp; kill 300 terrorists to take revenge o…"
2,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
3,@Rmnroy242 @aajtak Yes you are right #Pakistan doesn't have power or possess that #courage to show. The one who is… https://t.co/nQSIGfwym8
4,"RT @hvgoenka: A lovely sketch made by @art_lover_09 #pulwama
 https://t.co/tKYp2dHUN8"
5,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
6,"RT @saikatd: India's 'North Korean' news channels need to seriously stop reporting PM Modi has given a ""free hand"" to the military. Didn't…"
7,RT @Abhina_Prakash: Liberals are asking which nationalist is willing to swap place with the Wing Commander Abhinandan. Sure we will tell th…
8,"RT @rahulroushan: Sardesai retaliates like a street thug when someone provokes him, abuses in DM if someone trolls him. Now he says it's na…"
9,RT @SikanderFayyaz: Pakistanis aren't getting enough credit for how they've behaved since Pulwama. No toxic hyper-nationalism. Didn't respo…
10,"RT @SureshNakhua: We agreed for peace 
they did 93’ Mumbai

We agreed for peace 
they did Kargil

We agreed for peace 
they did Kandhar

We…"
11,"RT @AskAnshul: Pakistan media quoted Rajdeep, Sagarika &amp; Ashok Swain to imply:

-No Air strike
-No solid evidence of strike.
-Pulwama attac…"
12,"RT @rohini_sgh: First #BringAbhinandanBack. Second , take responsibility for the lapses that led to Pulwama despite intel inputs. It’s all…"
13,"RT @saikatd: India's 'North Korean' news channels need to seriously stop reporting PM Modi has given a ""free hand"" to the military. Didn't…"
14,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
15,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
16,"RT @SayeedaWarsi: My intervention today ⁦@UKHouseofLords⁩ 
Facts- ⁦@ImranKhanPTI⁩ has
1. Clearly &amp; unequivocally condemned #Pulwama attack…"
17,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
18,"RT @suchitrav: Vasundhara Sirnate and I analyzed the news reports since the #pulwamaattacks 

Our analysis of various Indian media news rep…"
19,RT @dhume: Both true: 1. Modi’s response to Pulwama attack is much stronger than Manmohan Singh’s to 2008 Mumbai attacks. 2. India’s restra…
20,"RT @chetan_bhagat: Reacting when our soldiers are killed isn't war mongering, it is self defence. Nobody in India wants war. We were happil…"
21,"RT @saikatd: India's 'North Korean' news channels need to seriously stop reporting PM Modi has given a ""free hand"" to the military. Didn't…"
22,RT @squintneon: If Warmongering is responsible for Abhinandan then peace talk is responsible for 40 soldiers killed in Pulwama.
23,"RT @suchitrav: Vasundhara Sirnate and I analyzed the news reports since the #pulwamaattacks 

Our analysis of various Indian media news rep…"
24,"RT @SayeedaWarsi: My intervention today ⁦@UKHouseofLords⁩ 
Facts- ⁦@ImranKhanPTI⁩ has
1. Clearly &amp; unequivocally condemned #Pulwama attack…"
25,RT @nina11_arora: @Subytweets And after Pulwama he was singing &amp; dancing! Why don’t  they all just start a Bhand Jumlawale Party of their o…
26,"RT @SayeedaWarsi: My intervention today ⁦@UKHouseofLords⁩ 
Facts- ⁦@ImranKhanPTI⁩ has
1. Clearly &amp; unequivocally condemned #Pulwama attack…"
27,"RT @SureshNakhua: We agreed for peace 
they did 93’ Mumbai

We agreed for peace 
they did Kargil

We agreed for peace 
they did Kandhar

We…"
28,RT @Pawankhera: My appeal to India’s ruling party - please stop taking cheap political mileage of the tragic killings of our Jawans in #Pul…
29,"Don't beat the war drums, it might end up being your worst nightmare, Pakistan. You should have not started the con… https://t.co/NoEKa8w59P"
30,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
31,"@_sabanaqvi 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi… https://t.co/6JywM0OuKx"
32,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
33,@AnanyaTripathy6 @113tiwarivishnu really tell me who is with you ? who saidn athing about pulwama simple answer nob… https://t.co/XN5LLyh91N
34,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
35,"RT @rahulroushan: Sardesai retaliates like a street thug when someone provokes him, abuses in DM if someone trolls him. Now he says it's na…"
36,RT @arunjaitley: The Cross Border terror attack in Pulwama was a reality. The Balakot Operation was India’s Anti- Terror preemptive strike…
37,RT @arunjaitley: The Cross Border terror attack in Pulwama was a reality. The Balakot Operation was India’s Anti- Terror preemptive strike…
38,"RT @SmokingSkills_: We agreed for peace they did 93’ Mumbai

We agreed for peace they did Kargil

We agreed for peace they did Kandhar

We…"
39,"RT @SureshNakhua: We agreed for peace 
they did 93’ Mumbai

We agreed for peace 
they did Kargil

We agreed for peace 
they did Kandhar

We…"
40,#Abhinandan #JaiHind #Pulwama #BringBackAbhinandan https://t.co/kvirO4vCYJ
41,RT @Pawankhera: My appeal to India’s ruling party - please stop taking cheap political mileage of the tragic killings of our Jawans in #Pul…
42,RT @ANI: FM Jaitley: Cross border terror attack in Pulwama was a reality. Balakot Operation was India’s anti- terror preemptive strike to d…
43,"RT @art_lover_09: Pulwama 🙏🏻
Jai Hind. 
#IndiaStrikesBack #IndianAirForce https://t.co/EQovmegOBc"
44,"1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanas… https://t.co/3Mblg6wnXd"
45,"RT @SureshNakhua: We agreed for peace 
they did 93’ Mumbai

We agreed for peace 
they did Kargil

We agreed for peace 
they did Kandhar

We…"
46,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
47,"RT @DimpleAtra: KaMalala had gone punting on the day of #Pulwama Jihadi attack against Hindus, it appears. Back now with her tutored sermon…"
48,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
49,"RT @PakPMO: I ask India; with our weapons capability...on both sides, can we afford a miscalculation? It will neither be in my control nor…"
50,"RT @SayeedaWarsi: My intervention today ⁦@UKHouseofLords⁩ 
Facts- ⁦@ImranKhanPTI⁩ has
1. Clearly &amp; unequivocally condemned #Pulwama attack…"
51,"RT @AskAnshul: Pakistan media quoted Rajdeep, Sagarika &amp; Ashok Swain to imply:

-No Air strike
-No solid evidence of strike.
-Pulwama attac…"
52,"RT @SureshNakhua: We agreed for peace 
they did 93’ Mumbai

We agreed for peace 
they did Kargil

We agreed for peace 
they did Kandhar

We…"
53,"RT @saikatd: India's 'North Korean' news channels need to seriously stop reporting PM Modi has given a ""free hand"" to the military. Didn't…"
54,"RT @rahulroushan: Sardesai retaliates like a street thug when someone provokes him, abuses in DM if someone trolls him. Now he says it's na…"
55,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
56,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
57,"RT @SayeedaWarsi: My intervention today ⁦@UKHouseofLords⁩ 
Facts- ⁦@ImranKhanPTI⁩ has
1. Clearly &amp; unequivocally condemned #Pulwama attack…"
58,"RT @suchitrav: Vasundhara Sirnate and I analyzed the news reports since the #pulwamaattacks 

Our analysis of various Indian media news rep…"
59,"RT @PakPMO: I ask India; with our weapons capability...on both sides, can we afford a miscalculation? It will neither be in my control nor…"
60,"RT @hvgoenka: A lovely sketch made by @art_lover_09 #pulwama
 https://t.co/tKYp2dHUN8"
61,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
62,"RT @SayeedaWarsi: My intervention today ⁦@UKHouseofLords⁩ 
Facts- ⁦@ImranKhanPTI⁩ has
1. Clearly &amp; unequivocally condemned #Pulwama attack…"
63,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
64,RT @amritabhinder: The Cross Border terror attack in Pulwama was a reality. Balakot Operation was India’s Anti- Terror preemptive strike to…
65,"RT @abhijitmajumder: 1993 Mumbai
1998 Coimbatore
2001 Parliament attack
2002 Akshardham
2003, 2006 Mumbai trains
2005 Delhi
2006 Varanasi
2…"
66,RT @sadhavi: Shameless creatures! India is watching you guys. When the nation was mourning #Pulwama BJP was electioneering and now when our…
67,RT @amritabhinder: The Cross Border terror attack in Pulwama was a reality. Balakot Operation was India’s Anti- Terror preemptive strike to…
